Linux 6.1.0-37-amd64 (dep881-unknown25827779.i.nease.net) 	08/20/26 	_x86_64_	(16 CPU)

17:04:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:11      13   49.02    0.00   16.67    0.00    0.00    0.98    4.90    0.00    0.00   28.43
17:04:11      14   40.38    0.00   16.35    3.85    0.00    2.88    5.77    0.00    0.00   30.77
17:04:11      15   58.33    0.00   18.75    0.00    0.00    3.12    4.17    0.00    0.00   15.62

17:04:11     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:12     all   43.41    0.00   15.18    1.94    0.00    5.96    4.52    0.00    0.00   28.98
17:04:12       0   35.64    0.00   15.84    1.98    0.00   10.89    5.94    0.00    0.00   29.70
17:04:12       1   49.48    0.00   13.40    0.00    0.00    9.28    3.09    0.00    0.00   24.74
17:04:12       2   34.38    0.00   17.71    5.21    0.00    6.25    6.25    0.00    0.00   30.21
17:04:12       3   33.65    0.00   17.31    0.00    0.00    4.81    6.73    0.00    0.00   37.50
17:04:12       4   45.63    0.00   10.68    0.00    0.00    9.71    3.88    0.00    0.00   30.10
17:04:12       5   33.33    0.00   13.54    7.29    0.00   13.54    4.17    0.00    0.00   28.12
17:04:12       6   43.00    0.00   12.00    5.00    0.00   10.00    4.00    0.00    0.00   26.00
17:04:12       7   52.43    0.00   14.56    0.00    0.00    6.80    4.85    0.00    0.00   21.36
17:04:12       8   53.92    0.00   10.78    0.98    0.00    2.94    3.92    0.00    0.00   27.45
17:04:12       9   47.00    0.00   18.00    1.00    0.00    4.00    3.00    0.00    0.00   27.00
17:04:12      10   51.55    0.00   17.53    0.00    0.00    1.03    4.12    0.00    0.00   25.77
17:04:12      11   49.49    0.00   18.18    0.00    0.00    2.02    4.04    0.00    0.00   26.26
17:04:12      12   35.35    0.00   20.20    0.00    0.00    3.03    5.05    0.00    0.00   36.36
17:04:12      13   52.00    0.00   11.00    0.00    0.00    5.00    3.00    0.00    0.00   29.00
17:04:12      14   50.00    0.00   16.67    0.00    0.00    0.98    3.92    0.00    0.00   28.43
17:04:12      15   26.32    0.00   15.79   10.53    0.00    5.26    6.32    0.00    0.00   35.79

17:04:12     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:13     all   41.47    0.00   16.37    1.64    0.00    5.50    4.55    0.00    0.00   30.47
17:04:13       0   28.28    0.00   23.23    1.01    0.00   10.10    5.05    0.00    0.00   32.32
